n,expr,real,imag,status
6,(i^((i^i)^((i^i)^i))),0.207879576350761908546955619834978770033877841631769608075135883055419877285482139788600277865426035340521773307235021808190619730374663986999911263178641205731717779520067433766495422463819297374305387037600518906630330497005190055562004758662052943518344318434550274797453447699347141723832308152715,3.06712535911966044675473602360840187126084976932630325847289626085308284642894458222478894057735038932981444667397035625612830185288050411250854001157173764053914674207324859552329903327161797362676537557300351893304610489630832361901688920426894158939724085123530521814090739368080525657280839459543e-302,ok
6,((i^(i^((i^i)^i)))^i),0.279963821533295860793508138934953977984279135550986169008050203474857282011020822001137052213861157653057918841406861775647410786639153924278334490625668168797072417701815913146805473016127054021775327064363333939842585995599900480585572581998507017317153551200851569807267095477462135601198885116002,-3.2413791598349644139542954640071365422070115680946415631647616076117236480202783152062968857231444315584498738440628125447459000816260077234404853189262555658273726752874779425056680973307687669012283593710301148508066890675899206667739704626740505107312513318419358109531159532462680264259967927508e-301,ok
6,((i^i)^((i^i)^(i^i))),0.322000931650212424923308959855563480455485522010563499798609194201349024414475139537902253396028200449995392179065458549722545816054339158684448358160222839634793320123732040684485227254450049574379348732376748261408846850105750747748916912246271838441225068628281710181308321273214124462917347678403,0.0,ok
6,((i^i)^(i^(i^(i^i)))),0.540819160271639247451153345454153945489631098591825675380381633535926061266063647727846280814936383204037201211285933588275985280136101386837228237004065372001056465639036220655556538366538769883787979714917329772863907141510839199433463273974023604182730034783377421929451248657760350420207608546357,-0.749601910687562511029145542944153441809021724456385256710904617463653922179626303597946255809074477180714622515928358232974611107109224717190325573319737719482931831915404360167767289058824617553710035143580839173681723173614990056839004269003709323873970744644667563407980605770815048166273206900065,ok
6,(i^(i^(i^(i^(i^i))))),0.782275682433953405286543438121045295433245050575363509848951922782227213223111892045963157462371361501581257669590969700798922089326540103375200763711272857322843569083561718959831568604081706667115873728880761432223066972524811396834654817301434134912860222551496110746800397043435684726428257594296,0.54460655765798973477763897335697905934821060212104002900559566064385967932449581155785790518457397622393625653891266907959571946180469447937936005175816600120425178067927221394546916630858113390633180991809463443947046093944001513276427353689795218660371270433932931090414138295696428901956706557405,ok
6,((i^(i^i))^(i^(i^i))),0.857828154065355480342323327797080428337564765028101509728376789362885373293412599669869575561791764250861458969420669964136986214739365361729901576037503698127403709594033677228508830934084762933597584035564240352063957213598538399255535841301426457562878827974723465119002482339120579228788967588698,0.274106950972932021897018114956565410231279759820367222737642025387198356584907035064523473082240448886862059390669083429278784125618240705287888868463149946322089694187292385958317613484396885092986582857287793601304750353608003579309555098394149486916763240863426342030363718311670868077915293397594,ok
6,(((i^i)^(i^i))^(i^i)),0.934372344816439144453083360308149858522202355934872448835237835792581632920330452255898656194360319382642074373708165492368752439795785708931752939502632188388341051183952989295794967197849198667280634519966940804941443418266621332717895916724977595389251308721789507563621568687360446479963082621055,0.0,ok
6,(i^((i^i)^(i^(i^i)))),1.1300158606975466893774177423731729083758477850842960220186815238098609809045408097609725049107377209076096124443743892723759630424539376207984708205456517510066236911007015869139389990967785350209546722140952098611530647251801124211498915034702921533779142537973142889947876365647449019111706895499,0.362853750890899337024633485476080366293997977812191977647916524092778542510007332321891147908966869336511346464376205197732235986125645975745359629955285837254491702060488012284181729926067768154847436089083551404334557291290234070944346360323818486915539649634485067694562567979524749207553836918014,ok
6,((i^(i^i))^((i^i)^i)),1.38615880891065259300368234005165585928049955603749627897892487909052344764909793648848909776970053448604677080932467641432701231503732897175097890677394996756054332905818246303803855130846928876717247611578838914403900462748789931145072472468728316347943533712795854361274559748006976880485620253698,9.11824907176445608780080299497795294798055215886488067500410074296438299585174127955723634929248144114611956430017049416948735690816131298856165850663602475256540658565456242168201275280922449776771242971423232326272399020232560778440397917162279221938483686430105382563974639593760911865931417329069e-302,ok
7,(i^((i^(i^i))^((i^i)^i))),-0.570058321684017679054353337188287172712409858090648412810377623658678164661732502493291280669856665483853504893999262935687707705832221814810855810832266380185065172888946946344274192100348581777042241224676728815904326430311472915467231032868462230639612546255190857960351467447369033312144756153365,0.821604229467449260172642040787585570206289153404261581235367086061537732031980204760505106999024338547622365191848954203816967696500949775519058027533064529655405151349473151206708269483351958870194140930782303021129777538048568085856842347917938041099087496375413027540631544333786223037341552320978,ok
7,(i^(i^((i^i)^(i^(i^i))))),-0.114698687568159631346612463877909265479192451941447277044099934759273265544479499408050762291712709000650322141100936340365098352262263042387394533711003300774260400753558538300242478158040791664981574732272750304883804593875436642054291055399849237854123597680276736410536026493403003311095025129255,0.553789531671937411302501109708061017184102343677094125930224342634899731861941495158121628632767065326084999796084793384505732994894946351776269754004424379429329190839455191965029706291459559162099757871134608792665358424669075464455185965036322426789526902294916462670126735403870185769159903669187,ok
7,((i^(i^i))^(i^((i^i)^i))),2.80581751372459015203936443011358491125026482009156210603331806975268694225428930881694376652566305642250662299075795323444214029194733473140856318796226592070828397134120545130023530561059044771456479733940598526469884333306065757524836056162827173335807582652060193814050510994493183425411620077638e-301,1.0,ok
7,((i^i)^((i^i)^((i^i)^i))),4.67234475073102791001954351956121925048444771283497815527674674934462076420584057772582442072142526114169660285140643848287311533465539952109160482237012743317710530361785575184822545758239411073676577893193621150117986836265252515685871710387910194097947258422945490037944473840225375269815152659726e-301,-1.0,ok
